veracityAccuracy,veracityPrediction,veracityPrecision,veracityRecall,veracityf1,veracitySupport,binaryAccuracy,binaryPrediction,binaryPrecision,binaryRecall,binaryf1,binarySupport,authortypeAccuracy,authortypePrediction,authortypePrecision,authortypeRecall,authortypef1,authortypeSupport,sentimentAccuracy,sentimentPrediction,sentimentPrecision,sentimentRecall,sentimentf1,sentimentSupport,WordCnt,SyllableCnt,InDictCnt,veracityOrigLabel,binaryOrigLabel,authortypeOrigLabel,sentimentOrigLabel
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,2,0.45,0.47,0.46,2558,0,0,0,0,0,0,770,1168,236,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,606,739,204,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,721,943,216,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,869,1028,170,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,295,402,99,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,259,317,64,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,393,542,127,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,1617,2754,673,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,208,257,72,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,904,1082,192,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,1532,2147,420,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,854,1149,231,1,0,0,0
0.8957630296212974,2,0.82,0.82,0.82,4047,0.9205099362579677,1,0.92,0.92,0.92,8084,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,1116,1544,308,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,865,1223,238,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,265,340,86,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,864,1319,249,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,2252,2910,503,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,1504,2368,368,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,1624,2538,407,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,159,229,59,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,395,546,156,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,507,732,160,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,472,730,166,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,1,0.92,0.92,0.92,8084,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,606,744,145,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,0,0.92,0.92,0.92,7918,0.7614673165854268,0,0.73,0.74,0.73,6624,0,0,0,0,0,0,363,511,116,1,0,0,0
0.8957630296212974,1,0.83,0.85,0.84,3988,0.9205099362579677,1,0.92,0.92,0.92,8084,0.7614673165854268,1,0.69,0.66,0.68,6820,0,0,0,0,0,0,238,328,74,1,0,0,0
